IDText,Text,Text_Merged,Translated_Text
TXT0162,pasangan duet capres cawapres ganjar pranowo mahfud md inspirasi para pelaku umkm kredit jadi langkah cerdas sukses terus temanteman bisnisjnb,pasangan duet capres cawapres ganjar pranowo mahfud md inspirasi para pelaku umkm kredit jadi langkah cerdas sukses terus temanteman bisnisjnb,"presidential and vice presidential candidate duo Ganjar Pranowo Mahfud MD inspires UMKM players, credit is a smart step, continued success, business friends, JNB"
TXT0163,kualitas pendidikan dan fasilitas kesehatan harus bisa dirasakan oleh setiap masyarakat tanpa terkecuali amin bertekad agar kesejahteraan dapat dirasakan oleh seluruh masyarakat indonesia ingat tanggal februari nanti pilih anies baswedan muhaimin iskandar untuk kesejahteraan yang merata di seluruh indonesia re cakiminow,kualitas pendidikan dan fasilitas kesehatan harus bisa dirasakan oleh setiap masyarakat tanpa terkecuali amin bertekad agar kesejahteraan dapat dirasakan oleh seluruh masyarakat indonesia ingat tanggal februari nanti pilih anies baswedan muhaimin iskandar untuk kesejahteraan yang merata di seluruh indonesia re cakiminow,"The quality of education and health facilities must be felt by every member of society without exception. Amin is determined that welfare can be felt by all Indonesian people. Remember, in February, vote for Anies Baswedan Muhaimin Iskandar for welfare that is evenly distributed throughout Indonesia. Re Cakiminow"
TXT0164,usai debat prabowo ungkap kekecewaan terhadap anies dan ganjar re oposisicerdas,usai debat prabowo ungkap kekecewaan terhadap anies dan ganjar re oposisicerdas,"After the debate, Prabowo expressed his disappointment towards Anies and Ganjar Re, Smart Opposition"
TXT0165,ganjar pranowo pemimpin yang tidak hanya duduk di kursi tapi juga turun ke panggung menunjukkan kepedulian terhadap seni dan budaya ganjar mahfud hebat,ganjar pranowo pemimpin yang tidak hanya duduk di kursi tapi juga turun ke panggung menunjukkan kepedulian terhadap seni dan budaya ganjar mahfud hebat,ganjar pranowo a leader who not only sits in a chair but also goes down to the stage shows his concern for arts and culture ganjar mahfud is great
TXT0166,ternyata pemahaman dan penguasaan pak ganjar tentang hankam dan politik luar negri kita begitu luas dan mendalam respek dan salut re lukmansaifuddin,ternyata pemahaman dan penguasaan pak ganjar tentang hankam dan politik luar negeri kita begitu luas dan mendalam respek dan salut re lukmansaifuddin,"It turns out that Mr Ganjar's understanding and mastery of our defense and security and foreign policy is so broad and deep. Respect and salute, Re Lukmansaifuddin"
TXT0167,tni siap menanggung biaya pengobatan relawan ganjarmahfud yang dianiaya oknum kompi  yonif raider suhbrastha re oposisicerdas,tni siap menanggung biaya pengobatan relawan ganjarmahfud yang dianiaya oknum kompi yonif raider suhbrastha re oposisicerdas,TNI is ready to cover the medical expenses of Ganjar Mahfud volunteers who were abused by members of the Suhbrastha Re Raider Yonif Company.
TXT0168,eumsegkkjndesla padahal bsip kalteng udah ngasih warning lahan gunung mas tidak bisa ditanam singkong kenapa masih dilakuin malah diganti jagung dan itupun pakai polybag yang pasti tanah polybag beda dengan tanah hutan tsb,eumsegkkjndesla padahal bsip kalteng sudah mengasih warning lahan gunung mas tidak bisa ditanam singkong kenapa masih dilakuin malah diganti jagung dan itupun pakai polybag yang pasti tanah polybag beda dengan tanah hutan tersebut,"eumsegkkjndesla even though the Central Kalimantan Bsip has given a warning that cassava cannot be planted in Gunung Mas land, why is this still being done, instead it is replaced with corn and even then using polybags, which of course the polybag soil is different from the forest land"
TXT0169,kalo nanti prabowo menilai soal toleransi dan polusi ke anis nilainya kalo nanti prabowo menilai pildun  batal dan wadas nilainya well yg berhak menilai bukan capres yg berhak menilai itu lembaga dan otoritas yg independent mas acho kebelet benci ya gini,kalo nanti prabowo menilai soal toleransi dan polusi ke anis nilainya kalo nanti prabowo menilai pildun batal dan wadas nilainya well yang berhak menilai bukan capres yang berhak menilai itu lembaga dan otoritas yang independent mas acho kebelet benci ya begini,"If later Prabowo assesses the issue of tolerance and pollution to Anis, what is the value? If later Prabowo assesses that the election was cancelled and was clean, what is the value? Well, the one who has the right to assess is not the presidential candidate, the one who has the right to assess is an independent institution and authority. Mas Acho, I want to hate it, right?"
TXT0170,capres no urut capres ganjar pranowo punya strategi keren enggak cuma melanjutkan tapi juga menambah dan memperbaiki program pemerintah era sebelumnya jnb,capres no urut capres ganjar pranowo punya strategi keren enggak cuma melanjutkan tapi juga menambah dan memperbaiki program pemerintah era sebelumnya jnb,presidential candidate number in order presidential candidate Ganjar Pranowo has a cool strategy not only to continue but also to add to and improve the previous government's programs jnb
TXT0171,program program capres no urut capres ganjar pranowo enggak cuma berlanjut tapi juga ditambah dan disempurnakan dari program pemerintah era sebelumnya mantapjna,program program capres no urut capres ganjar pranowo enggak cuma berlanjut tapi juga ditambah dan disempurnakan dari program pemerintah era sebelumnya mantapjna,presidential candidate program number presidential candidate Ganjar Pranowo's order is not only continued but also added and perfected from the previous government's program mantapjna
TXT0172,kontrak terbuka ganjar pranowo adalah undangan untuk kita semua ikut ambil bagian dalam menciptakan kedaulatan pangan,kontrak terbuka ganjar pranowo adalah undangan untuk kita semua ikut ambil bagian dalam menciptakan kedaulatan pangan,Ganjar Pranowo's open contract is an invitation for all of us to take part in creating food sovereignty.
TXT0173,rt kwik kian gie dua pesawat perang amerika pernah masuk ke wilayah nkri dan kita tidak bisa buat apaapa prabowo betul pertahanan kita sudah lama tak berdaulat gibran re bengkeldodo,rt kwik kian gie dua pesawat perang amerika pernah masuk ke wilayah nkri dan kita tidak bisa buat apaapa prabowo betul pertahanan kita sudah lama tak berdaulat gibran re bengkeldodo,RT Kwik Kian Gie Two American warplanes have entered the territory of the Republic of Indonesia and we can't do anything about it Prabowo is right our defense has not been sovereign for a long time Gibran Re bengkeldodo
TXT0174,seluruh yang tumpang tindih dari sisi regulasi satu perlu harmonisasi dua perlu sinkronisasi dan pada tingkat tidak ada keputusan maka pemimpin tertinggi harus berani ambil keputusan itu ganjar pranowo re jawapos,seluruh yang tumpang tindih dari sisi regulasi satu perlu harmonisasi dua perlu sinkronisasi dan pada tingkat tidak ada keputusan maka pemimpin tertinggi harus berani ambil keputusan itu ganjar pranowo re jawapos,all that overlaps from the regulatory side one needs harmonization two needs synchronization and at the level where there is no decision then the highest leader must dare to make that decision ganjar pranowo re jawapos
TXT0175,tkn sebut pdip panik karena jokowi mulai terangterangan dukung prabowogibran re oposisicerdas,tkn sebut pdip panik karena jokowi mulai terangterangan dukung prabowogibran re oposisicerdas,don't say pdip panic because jokowi starts to openly support prabowo ogibran and opposition smart
TXT0176,ekatalog pemerintah bukan hanya sebagai sistem tapi jalan emas buat umkm ganjarmahfud memang inovatif happy new year,ekatalog pemerintah bukan hanya sebagai sistem tapi jalan emas buat umkm ganjarmahfud memang inovatif happy new year,e-catalog government is not only a system but also a golden path for UMKM ganjarmahfud is indeed innovative happy new year
TXT0177,sreng sreng sreng untung tdk dibahas lawan anies terlalu baik hati ketika anies menyerang kelemahan paslon lain paslon lain malah tdk menyerang kelemahan anies no dan berhati mulia,sreng sreng sreng untung tidak dibahas lawan anies terlalu baik hati ketika anies menyerang kelemahan paslon lain paslon lain malah tidak menyerang kelemahan anies no dan berhati mulia,"sreng sreng sreng fortunately it was not discussed, Anies' opponent was too kind when Anies attacked the weaknesses of other candidates, other candidates did not attack Anies' weaknesses, no and had a noble heart"
TXT0178,mau edukasi gimana pun susah tau contohnya cowo aku he knows how bad is tapi katanya ga masalah kalo dia jadi presiden dia malah ga suka anies karena ga suka sama etikanya anies ceunah ga ngerti etika yang mana,mau edukasi bagaimana pun susah tau contohnya cowok aku he knows how bad is tapi katanya enggak masalah kalo dia jadi presiden dia malah enggak suka anies karena enggak suka sama etikanya anies ceunah enggak mengerti etika yang mana,"Even if you want to educate yourself, it's hard to know, for example, my guy knows how bad it is, but he says it doesn't matter if he becomes president. He doesn't even like Anies because he doesn't like Anies Ceunah's ethics. He doesn't understand what ethics are."
TXT0179,anies bandingkan kekayaan pribadi dgn kesejahteraan prajurit itu keliru prabowo emang udah kaya sebelum jadi menhan kok,anies bandingkan kekayaan pribadi dengan kesejahteraan prajurit itu keliru prabowo memang sudah kayak sebelum jadi menhan kok,"Anies comparing personal wealth with the welfare of soldiers is wrong, Prabowo was indeed like that before he became Minister of Defense."
TXT0180,takut dicekal masyarakat caleg demokrat tak pasang gambar prabowogibran re oposisicerdas,takut dicekal masyarakat caleg demokrat tak pasang gambar prabowogibran re oposisicerdas,"afraid of being banned by the community, the Democratic legislative candidates did not put up pictures of Prabowo-Gibran re-opposition smart"
TXT0181,dengan sangat tulus menteri bumn erick thohir titip pesan untuk menhan prabowo subianto untuk tetap menjaga toleransi umat beragama di indonesia re yunike,dengan sangat tulus menteri bumn erick thohir titip pesan untuk menhan prabowo subianto untuk tetap menjaga toleransi umat beragama di indonesia re yunike,"with great sincerity, state-owned enterprises minister erick thohir sent a message to defense minister prabowo subianto to maintain religious tolerance in indonesia re yunike"
TXT0182,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa,presidential and vice presidential candidate pair Ganjar Pranowo and Mahfud MD's program is a smart solution to encourage village economic growth
TXT0183,solusi cegah korupsi prabrorogib naikin gaji pejabat dan jamin kualitas hidup mereka solusi cegah korupsi ganjarmahfud miskinkan dan taruh di nusakambangan jadi pas debat kmren bilang mau naikin pajak itu supaya nanti bisa naikin gaji para pejabat yang akan jadi calon koruptor baru begitu ya makin yakin pilih re yusufdumdum,solusi cegah korupsi prabrorogib naikin gaji pejabat dan jamin kualitas hidup mereka solusi cegah korupsi ganjarmahfud miskinkan dan taruh di nusakambangan jadi pas debat kemarin bilang mau naikin pajak itu supaya nanti bisa naikin gaji para pejabat yang akan jadi calon koruptor baru begitu ya makin yakin pilih re yusufdumdum,"Solution to prevent corruption Prabrorogib increase the salaries of officials and guarantee their quality of life Solution to prevent corruption Ganjar Mahfud impoverish and put them in Nusakambangan So during the debate yesterday he said he wanted to increase taxes so that later he could increase the salaries of officials who will become new corrupt candidates, so I am increasingly confident in choosing Re Yusufdumdum"
TXT0184,bo bener asik sebab pastiinpbowo gbranpasti mendorong penggunaan teknis yg hemat air pada wilayah pertanian serta industri masgbran kamiadadisini vbbxdbcgni,bo benar asik sebab pastiinpbowo gbranpasti mendorong penggunaan teknis yang hemat air pada wilayah pertanian serta industri masgbran kamiadadisini vbbxdbcgni,bo really cool because pastiinpbowo gbran pasti encourages the use of water-saving techniques in agricultural and industrial areas masgbran kamiadadisini vbbxdbcgni
TXT0185,kalau di hitung secara matematika harusnya pendapatan daerah akan naik signifikan dikarenakan pajak baliho dan reklame para caleg ganjar mahfud hebat internet gratis,kalau di hitung secara matematika harusnya pendapatan daerah akan naik signifikan dikarenakan pajak baliho dan reklame para caleg ganjar mahfud hebat internet gratis,"If calculated mathematically, regional income should increase significantly due to the billboard and advertising taxes of the legislative candidates Ganjar Mahfud, great, free internet"
TXT0186,harus dimaklumi paslon dan tidak memahami pertahanan negara di lapangan terbukti parpol pendukung dan di dpr ri mendukung anggaran pembelian alutsista paling realistis paslon masih saja merasa maha benar dg ketidak tahuannya re bangsaygsujud,harus dimaklumi paslon dan tidak memahami pertahanan negara di lapangan terbukti parpol pendukung dan di dpr ri mendukung anggaran pembelian alutsista paling realistis paslon masih saja merasa maha benar dengan ketidak tahuannya re bangsaygsujud,"It must be understood that the candidate pair does not understand the country's defense in the field, as proven by the supporting political parties and the Indonesian House of Representatives' support for the most realistic defense equipment purchase budget. The candidate pair still feels they are always right with their ignorance, the nation bows down"
TXT0187,perlindungan ham adalah tugas krusial dalam setiap kebijakan pemerintahan prabowo gibran memprioritaskannya,perlindungan ham adalah tugas krusial dalam setiap kebijakan pemerintahan prabowo gibran memprioritaskannya,human rights protection is a crucial task in every government policy prabowo gibran prioritizes it
TXT0188,hari terpilih amin marsda purn supomo anies baswedan susun roadmad kedaulatan siber nasional,hari terpilih amin marsda purn supomo anies baswedan susun roadmad kedaulatan siber nasional,elected day amin retiring marshal supomo anies baswedan prepares national cyber sovereignty roadmap
TXT0189,yang dari hati akan diterima hati anies beneran peduli pada kesejahteraan tni polri jelang lengser anies baswedan hibahkan unit rusun senilai rp  ke polri berita oktober re micheladam,yang dari hati akan diterima hati anies benaran peduli pada kesejahteraan tni polri jelang lengser anies baswedan hibahkan unit rusun senilai rp ke polri berita oktober re micheladam,what comes from the heart will be received by the heart anies really cares about the welfare of the tni polri ahead of stepping down anies baswedan donates rusun units worth rp to the polri october news re micheladam
TXT0190,anies ingin kembalikan wibawa indonesia lewat diplomasi aktif re kumparan,anies ingin kembalikan wibawa indonesia lewat diplomasi aktif re kumparan,Anies wants to restore Indonesia's authority through active diplomacy re kumparan
TXT0191,viral bansos dipakai menangi pilpres dapat beras dan minyak asal teken kontrak coblos prabowogibran re oposisicerdas,viral bansos dipakai menangi pilpres dapat beras dan minyak asal teken kontrak coblos prabowogibran re oposisicerdas,viral social assistance used to win the presidential election get rice and oil as long as you sign a contract to vote for Prabowo-Gibran re-smart opposition
TXT0192,ppatk temukan transaksi janggal pilpres ganjar pranowo capres no urut buka suara terkait dengan transaksi janggal tersebut ganjar meminta kepada untuk melanjutkan temuan transaksi tersebut apabila dana tersebut terindikasi pelanggaran ke ranah pidana bisa langsung dilakukan penindakan oleh aparat hukum tertib hukum dan konstitusi adalah koentji syarat mutlak sorang pemimpin dukung ppatk berantas tuntas korupsi dan tppu re wagimandeep,ppatk temukan transaksi janggal pilpres ganjar pranowo capres no urut buka suara terkait dengan transaksi janggal tersebut ganjar meminta kepada untuk melanjutkan temuan transaksi tersebut apabila dana tersebut terindikasi pelanggaran ke ranah pidana bisa langsung dilakukan penindakan oleh aparat hukum tertib hukum dan konstitusi adalah koentji syarat mutlak sorang pemimpin dukung ppatk berantas tuntas korupsi dan tppu re wagimandeep,"ppatk finds strange transactions in presidential election ganjar pranowo presidential candidate number 1 speaks out regarding the strange transactions ganjar asks to continue the findings of the transactions if the funds are indicated as violations in the criminal realm, law enforcement can immediately take action, orderly law and the constitution are the absolute requirements for a leader, support ppatk to eradicate corruption and tppu completely re wagimandeep"
TXT0193,kebersamaan ganjar pranowo dengan srimulat adalah pelajaran bahwa politik bisa dijalani dengan sikap santai dan penuh tawa ganjar mahfud hebat,kebersamaan ganjar pranowo dengan srimulat adalah pelajaran bahwa politik bisa dijalani dengan sikap santai dan penuh tawa ganjar mahfud hebat,Ganjar Pranowo's togetherness with Srimulat is a lesson that politics can be lived with a relaxed attitude and full of laughter Ganjar Mahfud is great
TXT0194,jangan lupa catat tanggalnya indonesian democratic party februari tempat kita jadi bagian dari demokrasi ayo kita jadi bagian demokrasi dengan memilih ganjar pranowo,jangan lupa catat tanggalnya indonesian democratic party februari tempat kita jadi bagian dari demokrasi ayo kita jadi bagian demokrasi dengan memilih ganjar pranowo,"Don't forget to note the date, Indonesian Democratic Party, February, where we become part of democracy. Come on, let's become part of democracy by choosing Ganjar Pranowo."
TXT0195,kalo dari laman resmi karena alasan fiskal dan menimbulkan kegaduhan di masyarakat,kalo dari laman resmi karena alasan fiskal dan menimbulkan kegaduhan di masyarakat,if from the official page for fiscal reasons and causing a commotion in the community
TXT0196,debat capres memanas anies dan prabowo saling sentil re oposisicerdas,debat capres memanas anies dan prabowo saling sentil re oposisicerdas,presidential debate heats up anies and prabowo criticize each other re ahliocerdas
TXT0197,ganjar mahfud melakukan gerak cepat untuk indonesia lebih unggul mboten ngapusimboten korupsi re cakagoest,ganjar mahfud melakukan gerak cepat untuk indonesia lebih unggul mboten ngapusimboten korupsi re cakagoest,"Ganjar Mahfud took quick action to make Indonesia more superior, eradicating corruption and eradicating corruption"
TXT0198,gunromli bukan nyogok tapi kkn korupsi kolusi nepotisme ganjar mahfud hebat,gunromli bukan nyogok tapi kkn korupsi kolusi nepotisme ganjar mahfud hebat,"gunromli is not bribery but corruption, collusion, nepotism ganjar mahfud is great"
TXT0199,kan bisa di jawab sama anis kalo emang begitu prestasi gue kenapa lu calonin gue jadi gubernur dkikan karena lu tau gue pinterkan re rafapradhi,kan bisa di jawab sama anis kalo memang begitu prestasi gue kenapa lu calonin gue jadi gubernur dkikan karena lu tau gue pinterkan re rafapradhi,"You can answer Anis, if that's how my achievements are, why did you nominate me to be governor, especially because you know I'm smart, re Rafapradhi"
TXT0200,regulasi platform digital yang lebih keadilan kayaknya solusi banget dari ganjarmahfud semoga bisa terwujud ya happy new year,regulasi platform digital yang lebih keadilan kayaknya solusi banget dari ganjarmahfud semoga bisa terwujud ya happy new year,"fairer digital platform regulation seems like a solution from Ganjarmahfud, hopefully it can be realized, happy new year"
TXT0201,ganjar pemimpin yang selalu berkomitmen pada kesejahteraan rakyatnyaganjar pemimpin yang selalu berkomitmen pada kesejahteraan rakyatnya,ganjar pemimpin yang selalu berkomitmen pada kesejahteraan rakyatnyaganjar pemimpin yang selalu berkomitmen pada kesejahteraan rakyatnya,reward leaders who are always committed to the welfare of their people reward leaders who are always committed to the welfare of their people
TXT0202,jadi setelah wabah pmk yang kembali merebak pada tahun silam padahal udah lebih dr tahun kita bebas pmk apa yang bikin pak tetep pengen impor dari india apa karena lebih murah apa harganya yg murah sebanding dengan risiko yang mengancam re fmuchtaar,jadi setelah wabah pmk yang kembali merebak pada tahun silam padahal sudah lebih dari tahun kita bebas pmk apa yang bikin pak tetap pengin impor dari india apa karena lebih murah apa harganya yang murah sebanding dengan risiko yang mengancam re fmuchtaar,"So after the FMD outbreak that broke out again last year, even though we have been free from FMD for more than a year, what made you still want to import from India? Is it because it is cheaper? Is the cheap price comparable to the risk that threatens you? re fmuchtaar"
TXT0203,kalau kata habib rizieq shihab siapa pun pemerintahnya siapa pun pejabatnya siapa pun orangnya jika telah bekerja dengan baik dan bagus wajib di beri apresiasi trima kasi pak menhan dan pilihan saya tetap amin,kalau kata habib rizieq shihab siapa pun pemerintahnya siapa pun pejabatnya siapa pun orangnya jika telah bekerja dengan baik dan bagus wajib di beri apresiasi terima kasih pak menhan dan pilihan saya tetap amin,"According to Habib Rizieq Shihab, whoever the government is, whoever the official is, whoever the person is, if they have worked well and excellently, they must be given appreciation, thank you, Mr. Minister of Defense, and my choice remains amen."
TXT0204,dan mereka anti demokrasi kata new york times sih menurut anda bagaimana,dan mereka anti demokrasi kata new york times sih menurut anda bagaimana,"and they are anti-democratic, says the New York Times. What do you think?"
TXT0205,ardiningrum debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat,ardiningrum debat capres pertama ganjar tegaskan jaga demokrasi dan sikat korupsi bengis ganjar mahfud hebat,Ardiningrum first presidential debate Ganjar emphasized maintaining democracy and eradicating cruel corruption Ganjar Mahfud is great
TXT0206,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa,program pasangan capres cawapres ganjar pranowo dan mahfud md solusi jitu buat dorong pertumbuhan ekonomi desa,presidential and vice presidential candidate pair Ganjar Pranowo and Mahfud MD's program is a smart solution to encourage village economic growth
TXT0207,program pasangan capres cawapres ganjar pranowo dan mahfud md desa presisi investasi buat masa depan ekonomi yang kuat dan berdaya saing,program pasangan capres cawapres ganjar pranowo dan mahfud md desa presisi investasi buat masa depan ekonomi yang kuat dan berdaya saing,presidential and vice presidential candidate pair Ganjar Pranowo and Mahfud MD's program is precision investment village for a strong and competitive economic future.
TXT0208,faisal sebut menkeu sri mulyani akan mundur ekonom faisal basri mengajak segenap kalangan untuk membujuk sejumlah menteri mundur dari kabinet jokowi bujukan ia suarakan karena pemerintahan jokowi sangat terkesan berpihak pada pasangan capres dan cawapres nomor urut prabowo subianto dan gibran rakabuming raka re tijabar,faisal sebut menkeu sri mulyani akan mundur ekonom faisal basri mengajak segenap kalangan untuk membujuk sejumlah menteri mundur dari kabinet jokowi bujukan ia suarakan karena pemerintahan jokowi sangat terkesan berpihak pada pasangan capres dan cawapres nomor urut prabowo subianto dan gibran rakabuming raka re tijabar,faisal says finance minister sri mulyani will resign economist faisal basri invites all groups to persuade a number of ministers to resign from jokowi's cabinet he voiced his persuasion because jokowi's government seemed to be siding with presidential and vice presidential candidate pair number prabowo subianto and gibran rakabuming raka re tijabar
TXT0209,prabowo tak khawatir intervensi negara lain soal utang re oposisicerdas,prabowo tak khawatir intervensi negara lain soal utang re oposisicerdas,Prabowo is not worried about other countries intervening in debt re-oppositionsmart
TXT0210,barusan gue dan temen gue ngecek pndpt pajak daerah buat satu tmpt aja ni bsa smpe triliun gmna se indonesia tujuan gue mau bilang itu atas nama indonesia pake uang indonesia jga dr rakyat indo jgn seolah cuma prabowo doang yg nyumbang jir licik amat re amanetsuyu,barusan gue dan teman gue mengecek pndpt pajak daerah buat satu tempat saja nih bisa sampai triliun bagaimana se indonesia tujuan gue mau bilang itu atas nama indonesia pakai uang indonesia juga dari rakyat indonesia jangan seolah cuma prabowo doang yang nyumbang jir licik amat re amanetsuyu,"Just now my friend and I checked the local tax revenue for just one place, it could be up to trillions, what is the aim of Indonesia? I want to say that in the name of Indonesia, using Indonesian money also from the Indonesian people, don't act as if only Prabowo is the one who contributes, very cunning jir re amanetsuyu"
TXT0211,tom lembong mencerminkan bahwa memang orientasi disana prabowogibran itu adalah menang dengan cara apapun dengan cara licik dan tidak beretika pun mereka tidak malu pertontonkan didepan publik demi memenuhi syahwat mereka untuk berkuasa memalukan re dhyndha,tom lembong mencerminkan bahwa memang orientasi disana prabowogibran itu adalah menang dengan cara apapun dengan cara licik dan tidak beretika pun mereka tidak malu pertontonkan didepan publik demi memenuhi syahwat mereka untuk berkuasa memalukan re dhyndha,"Tom Lembong reflects that indeed Prabowo-Gibbon's orientation there is to win by any means, even if they are cunning and unethical, they are not ashamed to show it in front of the public in order to satisfy their lust for power, embarrassing Re Dhyndha."
TXT0212,menarik ganjarmahfud tampaknya fokus pada memudahkan akses masyarakat terhadap layanan hukum ini akan mendukung investasi happy new year,menarik ganjarmahfud tampaknya fokus pada memudahkan akses masyarakat terhadap layanan hukum ini akan mendukung investasi happy new year,interesting ganjarmahfud seems to focus on facilitating public access to legal services this will support investment happy new year
TXT0213,ganjar pranowo gubernur yang tidak hanya memiliki kebijakan tegas tapi juga mampu menyatu dengan rakyat melalui seni komedi ganjar mahfud hebat,ganjar pranowo gubernur yang tidak hanya memiliki kebijakan tegas tapi juga mampu menyatu dengan rakyat melalui seni komedi ganjar mahfud hebat,"Ganjar Pranowo, a governor who not only has firm policies but is also able to unite with the people through the art of comedy, Ganjar Mahfud is great."
TXT0214,ganjar mahfud hebat betul pak bersihkan indonesia dari korupsi dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat,ganjar mahfud hebat betul pak bersihkan indonesia dari korupsi dengan pak ganjar dan mahfud semoga indonesia lebih maju lagi ganjar mahfud hebat,"Ganjar Mahfud is really great, sir, clean Indonesia from corruption with Pak Ganjar and Mahfud, hopefully Indonesia will be more advanced. Ganjar Mahfud is great."
TXT0215,kok bisabisanya wan abud fitnah belanja alutsista prabowo dukungantulus untuk penasaran kebebasan ptn top menhan nyebokin nangisin goblok pt tmi,kok bisabisanya wan abud fitnah belanja alutsista prabowo dukungantulus untuk penasaran kebebasan ptn top menhan nyebokin nangisin goblok pt tmi,how can wan abud slander prabowo's defense equipment shopping sincere support for curious freedom top ptn defense minister nyebo makes crying stupid pt tmi
TXT0216,tim hukum amin sumut laporkan baliho bobby nasution berpakaian dinas bersama prabowo re oposisicerdas,tim hukum amin sumut laporkan baliho bobby nasution berpakaian dinas bersama prabowo re oposisicerdas,"Amin North Sumatra's legal team reports billboard of Bobby Nasution in uniform with Prabowo re, smart opposition"
TXT0217,katanya anies gapunya etika ke prabowo yg lebih tua tapi mereka mendadak buta ya pas prabowo menyenye pas anies lagi bicara di debat wkwk freak bgt re donnaharra,katanya anies enggak punya etika ke prabowo yang lebih tua tapi mereka mendadak buta ya pas prabowo menyenye pas anies lagi bicara di debat wkwk freak banget re donnaharra,he said Anies didn't have any ethics towards Prabowo who was older but they suddenly went blind when Prabowo smiled when Anies was speaking in the debate wow that's really freaking re donnaharra
TXT0218,anies presiden sebagai panglima diplomasi bukan hadir di forum jadi penonton re oposisicerdas,anies presiden sebagai panglima diplomasi bukan hadir di forum jadi penonton re oposisicerdas,"Anies, the president as the commander in chief of diplomacy, is not present at the forum, he is a spectator, re-opposition, smart"
